Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
44,-63.2501,-50.1757,-50.4236,-63.6713,-62.542,-68.7185,-56.3526,-54.6154,-68.5604,-65.9413,-70.0,-57.1851,-63.0105,-70.0,-63.0589,-58.7486,-46.179,-56.8833,-61.7325,-61.9291,-61.4282,-56.9835,-46.8458,-62.0278,-56.0674,-63.3938,-62.0335,-61.6647,-67.1021,-57.1523,0
45,-61.4719,-55.1039,-47.9568,-59.6302,-65.9649,-68.4447,-55.7092,-60.2588,-69.8524,-65.0163,-68.041,-53.7137,-67.2638,-67.1017,-60.9075,-55.2694,-46.2784,-58.8193,-58.1459,-66.2535,-61.5084,-58.3513,-44.8491,-61.0418,-60.4219,-63.2708,-64.286,-62.7713,-63.8787,-53.6997,0
46,-64.3272,-57.4095,-44.8911,-60.5143,-67.5041,-67.4933,-57.0604,-65.4476,-70.0,-61.1853,-67.201,-50.34,-66.8984,-63.6444,-60.4173,-60.5241,-43.142,-56.0114,-63.2983,-67.399,-57.6271,-55.1843,-47.4248,-65.2121,-58.7438,-60.7081,-67.947,-59.1247,-68.062,-57.4073,0
47,-64.4479,-60.5002,-42.1141,-59.0938,-67.0582,-68.5724,-53.4222,-64.6205,-68.184,-57.0198,-70.0,-52.1389,-63.2948,-64.4673,-58.7817,-57.3756,-42.7995,-55.1399,-63.9057,-70.0,-62.844,-56.173,-50.3316,-62.5043,-60.1237,-59.1575,-68.2319,-55.0056,-70.0,-53.866,0
48,-61.2651,-58.7535,-46.5462,-63.6716,-70.0,-70.0,-56.6825,-63.0181,-70.0,-56.4049,-65.5298,-48.6271,-63.109,-62.1743,-61.0508,-56.612,-45.3584,-54.9823,-60.2019,-70.0,-63.3263,-57.7679,-53.8852,-63.1068,-63.5174,-61.3076,-65.0376,-59.8619,-70.0,-56.9077,0
49,-66.2358,-56.128,-43.3879,-62.7605,-70.0,-70.0,-56.3557,-58.6376,-65.3978,-57.9139,-64.3796,-47.8564,-63.7223,-63.5874,-60.8049,-53.2401,-49.1882,-59.7007,-59.0947,-70.0,-63.4898,-53.3814,-56.8573,-64.3886,-64.4757,-56.8226,-69.5571,-60.6399,-70.0,-57.0358,0
50,-70.0,-57.5662,-44.4158,-61.3986,-66.5176,-70.0,-59.1313,-56.5693,-61.1622,-61.1626,-63.7188,-45.3705,-64.6302,-62.5911,-61.1308,-49.4583,-46.2546,-59.4012,-61.0875,-69.8637,-64.5382,-55.7802,-53.8487,-67.8287,-61.3573,-55.5078,-70.0,-62.4814,-70.0,-54.5723,0
51,-65.9766,-56.5698,-43.5262,-60.3333,-69.9448,-65.7721,-56.6019,-54.8741,-61.7931,-56.9474,-63.6788,-44.438,-66.1535,-61.672,-62.9762,-47.4613,-44.4216,-57.3061,-58.7451,-65.9457,-66.4052,-56.8674,-51.4987,-64.2217,-64.1558,-54.7851,-70.0,-61.9734,-68.9364,-51.9634,0
52,-61.4006,-60.8583,-44.7756,-60.9652,-69.8143,-63.1369,-57.5288,-59.5831,-64.892,-59.1428,-62.4244,-41.3703,-70.0,-59.0242,-64.1407,-48.8452,-43.015,-59.4318,-55.7362,-63.1804,-64.1714,-55.3951,-54.2024,-63.1974,-69.3941,-55.597,-69.8869,-59.0787,-68.7054,-49.1913,0
53,-65.984,-63.9644,-43.304,-65.1202,-70.0,-64.9312,-56.5046,-62.2605,-67.7633,-62.6155,-62.1091,-46.2597,-69.3393,-56.0073,-69.2406,-51.5477,-44.6587,-56.0709,-56.221,-63.2071,-65.9218,-60.3278,-59.6081,-62.9269,-70.0,-57.4426,-65.4432,-61.6247,-69.2803,-46.1747,0
