Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
59,-43.5305,-68.5689,-64.4486,-62.6597,-63.2135,-70.0,-58.5365,-44.7956,-70.0,-65.8319,-51.2977,-68.008,-64.6077,-60.9844,-70.0,-62.5463,-66.1776,-62.7044,-62.7563,-67.7728,-65.8223,-62.4157,-70.0,-65.3238,-60.7757,-70.0,-70.0,-70.0,-58.56,-56.0057,0
60,-43.9405,-65.658,-60.7294,-58.2181,-67.0886,-70.0,-56.1173,-41.5675,-70.0,-62.913,-50.7684,-65.2692,-61.349,-62.9978,-70.0,-63.0996,-68.0337,-62.6817,-58.3113,-65.8767,-61.8561,-63.889,-70.0,-70.0,-62.9577,-69.1041,-70.0,-70.0,-60.5828,-55.5933,0
61,-50.1865,-67.9101,-58.1354,-56.3889,-68.2924,-70.0,-59.1294,-47.149,-70.0,-60.7712,-47.084,-67.8948,-66.2299,-66.046,-70.0,-62.2814,-67.5579,-63.2909,-63.1426,-64.724,-58.8851,-68.3285,-70.0,-70.0,-60.7515,-70.0,-70.0,-69.5558,-62.6175,-57.404,0
62,-52.4823,-68.8245,-61.5677,-59.001,-68.124,-70.0,-59.206,-53.099,-69.248,-57.2558,-49.522,-67.2841,-68.3926,-70.0,-70.0,-61.1215,-69.4365,-58.9752,-65.1029,-65.687,-57.5324,-66.5873,-70.0,-65.7877,-57.4777,-66.7145,-70.0,-68.9343,-60.9793,-56.4798,0
63,-51.2491,-69.8077,-60.7108,-58.9146,-70.0,-70.0,-59.414,-49.365,-70.0,-62.4122,-45.7949,-70.0,-68.1228,-65.7942,-66.899,-63.2462,-70.0,-60.9899,-63.5735,-65.9694,-56.8637,-62.6441,-70.0,-67.8614,-54.6838,-68.2199,-65.3148,-70.0,-61.397,-57.9967,0
64,-54.0153,-70.0,-65.3113,-55.1125,-65.8515,-70.0,-62.8479,-49.2525,-65.2368,-64.2776,-42.7886,-70.0,-66.1278,-65.4217,-67.1594,-65.6249,-67.6033,-58.5895,-66.0579,-66.3013,-55.1554,-60.0823,-69.0951,-65.6304,-58.9699,-66.3238,-66.8778,-70.0,-57.7663,-58.0281,0
65,-57.5292,-65.1535,-68.5497,-56.3181,-63.0755,-69.0909,-60.018,-54.9907,-68.4586,-63.6909,-45.2418,-69.9429,-67.7358,-62.18,-63.5816,-61.9951,-66.1787,-54.4484,-69.0294,-64.5008,-51.4638,-59.6451,-69.6209,-67.0831,-54.8275,-70.0,-70.0,-70.0,-58.6808,-56.0496,0
66,-62.252,-69.2098,-70.0,-60.5205,-67.4863,-64.4948,-59.8436,-52.917,-70.0,-61.5438,-44.5977,-66.0412,-70.0,-58.9378,-67.9423,-66.3085,-69.2777,-56.202,-70.0,-60.7317,-48.0059,-64.894,-65.5857,-69.4457,-53.8619,-70.0,-70.0,-67.5078,-57.0006,-51.8674,0
67,-61.9104,-65.8337,-70.0,-65.8821,-69.6022,-68.025,-61.4798,-50.671,-70.0,-65.279,-44.0081,-66.7941,-70.0,-62.5499,-63.1613,-64.7868,-67.1087,-56.8737,-65.2292,-58.6257,-47.2287,-63.2215,-64.7564,-66.5583,-59.0987,-69.9402,-68.9849,-69.4815,-54.5244,-49.9847,0
68,-61.2088,-69.0629,-70.0,-67.4123,-66.1483,-66.6933,-60.8353,-52.1312,-70.0,-61.0961,-46.1996,-68.9703,-70.0,-59.1308,-59.2024,-67.6938,-64.7917,-57.3401,-61.5673,-62.2147,-48.8785,-60.9381,-67.8357,-65.9876,-61.0024,-66.5935,-68.2093,-70.0,-59.8089,-48.859,0
69,-60.9152,-65.3067,-70.0,-62.8735,-61.6521,-68.025,-62.9455,-54.3635,-68.8674,-58.282,-46.6872,-65.3271,-67.9365,-60.2022,-56.8303,-66.8399,-63.8102,-55.6371,-65.4162,-60.5135,-50.5773,-65.2406,-70.0,-67.9607,-65.7072,-66.5321,-70.0,-70.0,-62.0741,-47.5426,0
70,-59.383,-63.0205,-66.6639,-61.6457,-61.9197,-63.7661,-66.6086,-58.0241,-64.5555,-59.9069,-43.0881,-64.1822,-68.9333,-55.8754,-59.2666,-69.7075,-67.8436,-59.6265,-66.7605,-62.2005,-53.3054,-67.1881,-70.0,-68.1569,-63.1138,-64.348,-70.0,-66.5234,-58.3706,-48.7172,0
